Cleanup ID,Zone,State,Country,GPS,Cleanup Type,Cleanup Date,Group Name,Adults,Children,People,Pounds,Miles,# of bags,Cigarette Butts,"Food Wrappers (candy, chips, etc.)",Take Out/Away Containers (Plastic),Take Out/Away Containers (Foam),Bottle Caps (Plastic),Bottle Caps (Metal),Lids (Plastic),"Straws, Stirrers","Forks, Knives, Spoons",Beverage Bottles (Plastic),Beverage Bottles (Glass),Beverage Cans,Grocery Bags (Plastic),Other Plastic Bags,Paper Bags,"Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps",Fishing Net & Pieces,Fishing Line (1 yard/meter = 1 piece),Rope (1 yard/meter = 1 piece),Fishing Gear (Clean Swell),6-Pack Holders,Other Plastic/Foam Packaging,"Other Plastic Bottles (oil, bleach, etc.)",Strapping Bands,Tobacco Packaging/Wrap,Other Packaging (Clean Swell),"Appliances (refrigerators, washers, etc.)",Balloons,Cigar Tips,Cigarette Lighters,Construction Materials,Fireworks,Tires,Toys,Other Trash (Clean Swell),Condoms,Diapers,Syringes,Tampons/Tampon Applicators,Personal Hygiene (Clean Swell),Foam Pieces,Glass Pieces,Plastic Pieces,Total Items Collected
931,"Humboldt County, CA, USA","California, USA",United States,"41.26888, -124.09625","Land (beach, shoreline and inland)",9/19/15,,1,0,1,0,0.2988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
932,"Humboldt County, CA, USA","California, USA",United States,"40.8056, -124.16897","Land (beach, shoreline and inland)",9/19/15,,4,0,4,28.95,1.271,0,840,21,7,3,26,0,4,34,8,0,2,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,158,0,0,0,0,7,0,0,195,1318
933,"Orange County, CA, USA","California, USA",United States,"33.60793, -117.88551","Land (beach, shoreline and inland)",9/19/15,,1,0,1,3.01,0.5075,0,19,8,5,7,12,0,4,0,3,7,0,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,86
951,"Humboldt County, CA, USA","California, USA",United States,"41.14898, -123.8609","Land (beach, shoreline and inland)",9/19/15,,2,0,2,16.8,123.3768,0,17,9,2,1,4,0,4,1,0,4,9,6,4,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1,64,0,0,0,0,0,0,0,49,184
953,"Humboldt County, CA, USA","California, USA",United States,"40.86844, -124.08686","Land (beach, shoreline and inland)",9/19/15,,1,0,1,1.64,0.0136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,8
967,"Humboldt County, CA, USA","California, USA",United States,"40.80495, -124.16931","Land (beach, shoreline and inland)",9/19/15,,4,0,4,25.38,1.5085,0,910,17,0,0,16,0,12,10,4,4,7,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,4,0,0,0,0,0,0,106,0,0,0,0,9,0,0,31,1147
1036,"Monterey County, CA, USA","California, USA",United States,"36.86989, -121.76163","Land (beach, shoreline and inland)",9/23/15,,6,0,6,3.91,0.6367,0,0,10,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,11,58
1054,"Monterey County, CA, USA","California, USA",United States,"36.61521, -121.89944","Land (beach, shoreline and inland)",9/26/15,,1,0,1,2.66,0.3924,0,43,5,1,0,2,0,1,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,65
1056,"Sacramento County, CA, USA","California, USA",United States,"38.67081, -121.10069","Land (beach, shoreline and inland)",9/26/15,,1,0,1,13.18,67.4072,0,31,25,4,2,3,0,2,4,2,8,6,6,8,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,0,0,0,0,2,31,0,0,0,0,1,0,0,27,176
1058,"El Dorado County, CA, USA","California, USA",United States,"38.71509, -120.60735","Land (beach, shoreline and inland)",9/26/15,,1,0,1,30.57,9.9961,0,57,44,2,0,3,0,15,5,1,8,14,12,8,0,0,5,0,0,0,0,0,0,33,0,0,0,0,0,2,0,0,0,0,0,0,0,2,9,0,0,0,0,3,0,0,40,263
1063,"Monterey County, CA, USA","California, USA",United States,"36.61586, -121.89948","Land (beach, shoreline and inland)",9/26/15,,4,0,4,6.42,2.6132,0,13,0,3,0,3,0,3,0,1,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,48
1066,"Monterey County, CA, USA","California, USA",United States,"36.61608, -121.89957","Land (beach, shoreline and inland)",9/26/15,,3,0,3,2.82,0.1715,0,54,3,1,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,0,2,83
1067,"El Dorado County, CA, USA","California, USA",United States,"38.83066, -120.23983","Land (beach, shoreline and inland)",9/26/15,,4,0,4,9.01,29.2667,0,10,21,6,4,5,0,4,0,0,7,5,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,12,115
1069,"Monterey County, CA, USA","California, USA",United States,"36.59869, -121.8928","Land (beach, shoreline and inland)",9/26/15,,1,0,1,0,0.3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084,"Santa Clara County, CA, USA","California, USA",United States,"37.26652, -121.83356","Land (beach, shoreline and inland)",10/3/15,,1,0,1,0.01,2.8871,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1101,"San Diego County, CA, USA","California, USA",United States,"32.76146, -117.25047","Land (beach, shoreline and inland)",10/16/15,,1,0,1,10.03,0.051,0,19,43,2,2,12,0,7,5,3,9,1,0,1,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,14,0,0,0,0,0,0,0,84,218
1102,"San Diego County, CA, USA","California, USA",United States,"32.76559, -117.25246","Land (beach, shoreline and inland)",10/20/15,,1,0,1,29.13,2.2728,0,19,29,0,1,11,0,3,4,2,2,1,5,1,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,1,0,3,0,0,0,0,0,11,101,0,0,0,0,8,0,0,104,324
1105,"San Diego County, CA, USA","California, USA",United States,"32.76785, -117.25265","Land (beach, shoreline and inland)",10/17/15,,1,0,1,15.4,0.4369,0,13,24,4,4,10,0,3,5,3,14,4,3,2,0,0,11,0,0,0,0,0,0,4,0,0,0,0,0,6,0,1,0,0,0,0,0,5,45,0,0,0,0,1,0,0,36,198
1114,"San Diego County, CA, USA","California, USA",United States,"32.76255, -117.25223","Land (beach, shoreline and inland)",10/22/15,,1,0,1,5.45,2.217,0,1,15,0,0,3,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,0,15,0,0,0,0,4,0,0,47,103
1126,"San Diego County, CA, USA","California, USA",United States,"32.76244, -117.25228","Land (beach, shoreline and inland)",10/27/15,,1,0,1,47.11,1.6859,0,54,27,0,2,95,0,3,19,3,2,0,5,2,0,0,3,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,0,0,24,175,0,0,0,0,9,0,0,196,642
1128,"San Diego County, CA, USA","California, USA",United States,"32.76238, -117.25257","Land (beach, shoreline and inland)",10/28/15,,1,0,1,16.31,0.9852,0,40,15,0,0,21,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,78,0,0,0,0,3,0,0,176,351
1129,"San Diego County, CA, USA","California, USA",United States,"32.7611, -117.25191","Land (beach, shoreline and inland)",11/2/15,,1,0,1,21.87,2.6239,0,10,46,2,2,9,0,2,4,4,13,2,7,4,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,2,0,5,0,0,0,0,0,15,59,0,0,0,0,4,0,0,32,238
1135,"San Diego County, CA, USA","California, USA",United States,"32.76238, -117.25257","Land (beach, shoreline and inland)",10/28/15,,1,0,1,16.31,0.9852,0,40,15,0,0,21,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,2,78,0,0,0,0,3,0,0,176,351
1146,"San Diego County, CA, USA","California, USA",United States,"32.76169, -117.25051","Land (beach, shoreline and inland)",11/1/15,,1,0,1,26.28,3.1772,0,6,74,4,3,29,0,4,8,5,11,3,25,5,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,16,85,0,0,0,0,4,0,0,28,331
1150,"San Diego County, CA, USA","California, USA",United States,"32.76169, -117.25051","Land (beach, shoreline and inland)",11/1/15,,1,0,1,26.28,3.1772,0,6,74,4,3,29,0,4,8,5,11,3,25,5,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,16,85,0,0,0,0,4,0,0,28,331
